iter	Logloss
0	0.6823680878
1	0.6712933222
2	0.6591709137
3	0.6494048436
4	0.638845698
5	0.628127861
6	0.6179805756
7	0.6078814824
8	0.5981121063
9	0.5878612518
10	0.5790924072
11	0.5704994202
12	0.5627624512
13	0.5534275055
14	0.5448872248
15	0.5362327576
16	0.5288832664
17	0.5206905047
18	0.5138525009
19	0.5070144971
20	0.4994543393
21	0.4925258636
22	0.4855364482
23	0.4790626526
24	0.4728359222
25	0.4672281901
26	0.4608731588
27	0.4558062236
28	0.4491085688
29	0.4438245455
30	0.4383300145
31	0.433782196
32	0.4286450704
33	0.424253273
34	0.4201821009
35	0.4161936124
36	0.4110904058
37	0.406707255
38	0.401458772
39	0.3969373703
40	0.3927974701
41	0.3893820763
42	0.3849399567
43	0.3806089083
44	0.3762694677
45	0.3724624316
46	0.3690251033
47	0.3664715131
48	0.3636797905
49	0.3598813375
50	0.3568871498
51	0.353962326
52	0.3510749181
53	0.3484411875
54	0.3457107544
55	0.3427734375
56	0.3392168681
57	0.3360956192
58	0.3337237994
59	0.3305597305
60	0.328241984
61	0.3261384328
62	0.3235120773
63	0.3214460055
64	0.3189074516
65	0.3165745417
66	0.3149704297
67	0.3128851891
68	0.3111311277
69	0.3092427572
70	0.3073698997
71	0.3053127289
72	0.3031259219
73	0.3016682625
74	0.2999517759
75	0.2984820684
76	0.2971212069
77	0.2953055064
78	0.2938002268
79	0.2925502141
80	0.2910369237
81	0.2893453598
82	0.2878764788
83	0.2863275846
84	0.2848213514
85	0.283507061
86	0.2821000099
87	0.2806524595
88	0.2790933291
89	0.2779638608
90	0.2765329361
91	0.2757337252
92	0.2747872353
93	0.2735600154
94	0.2723748525
95	0.271417745
96	0.2696929296
97	0.2681056341
98	0.2672609965
99	0.2661976814
100	0.2652458191
101	0.2643178622
102	0.2634291649
103	0.26259799
104	0.2615947088
105	0.2606464068
106	0.2598406951
107	0.2589401404
108	0.2581946055
109	0.2576135635
110	0.2569124063
111	0.2561998685
112	0.2552849452
113	0.2547016939
114	0.2538910866
115	0.253099219
116	0.2524858157
117	0.2517401218
118	0.2508657455
119	0.2501809438
120	0.2496381601
121	0.2489413897
122	0.2484090169
123	0.2478248596
124	0.2470280488
125	0.246515433
126	0.2460940043
127	0.2454229673
128	0.2449443817
129	0.244490401
130	0.2439421177
131	0.2434324741
132	0.2428733031
133	0.2423975627
134	0.2418474992
135	0.2413262844
136	0.2407577356
137	0.2402808189
138	0.2397957166
139	0.2393694878
140	0.2389699618
141	0.238435936
142	0.238056771
143	0.2376234055
144	0.2372442563
145	0.2369293849
146	0.2365924199
147	0.2362277667
148	0.2358318806
149	0.2355042299
150	0.2350959142
151	0.2344454924
152	0.2341475964
153	0.2338050524
154	0.2333758354
155	0.2329316775
156	0.2326372306
157	0.2322154045
158	0.2318319321
159	0.2315232595
160	0.231239748
161	0.2309584141
162	0.2303619385
163	0.2300438722
164	0.2294624329
165	0.2291968346
166	0.2288867474
167	0.2286019802
168	0.2283297698
169	0.2281031768
170	0.2277878761
171	0.2275406043
172	0.2272713661
173	0.2269990285
174	0.2266066392
175	0.2262670994
176	0.22600015
177	0.2256860256
178	0.2254278024
179	0.2252745152
180	0.2251133283
181	0.224798584
182	0.224504137
183	0.2242788951
184	0.2239996592
185	0.2237085501
186	0.2235143344
187	0.2232804616
188	0.2228366216
189	0.2225357215
190	0.2222619216
191	0.2220569293
192	0.2218407631
193	0.2216935476
194	0.2212505023
195	0.2210552851
196	0.2209029198
197	0.2206726392
198	0.2205392202
199	0.2203493754
200	0.2201699575
201	0.2200171471
202	0.2198760986
