iter	Logloss
203	0.2197506587
204	0.2194140275
205	0.2192103704
206	0.2190112432
207	0.2188549042
208	0.2186424255
209	0.2185343583
210	0.2184116046
211	0.2180931568
212	0.2179233869
213	0.2177238464
214	0.2175034523
215	0.2173287868
216	0.2171802521
217	0.2170104345
218	0.2168615977
219	0.2167511304
220	0.2166056474
221	0.2164439201
222	0.2162424088
223	0.2159442584
224	0.215875117
225	0.2157220205
226	0.2155902545
227	0.2154170036
228	0.215301005
229	0.215179491
230	0.2150677363
231	0.2149503231
232	0.2146777153
233	0.2145442645
234	0.2143526236
235	0.2142455578
236	0.2141576767
237	0.2140083313
238	0.213918225
239	0.213607645
240	0.2135117213
241	0.213400205
242	0.213293918
243	0.2131812731
244	0.2130996545
245	0.2130144119
246	0.2129266898
247	0.2128095786
248	0.2126680215
249	0.2125443776
250	0.2124443849
251	0.2123400052
252	0.2122079531
253	0.2121090889
254	0.2119939168
255	0.2118902683
256	0.2118022442
257	0.2116857211
258	0.2115814527
259	0.2113616943
260	0.2112854004
261	0.2111726125
262	0.2110591253
263	0.2108491898
264	0.2107780139
265	0.2106886228
266	0.2106217225
267	0.2104794343
268	0.2102472941
269	0.2101362228
270	0.2099472205
271	0.2098285357
272	0.2097385089
273	0.2096390724
274	0.209552892
275	0.2094799995
276	0.2093650818
277	0.2093109131
278	0.2092477481
279	0.2091599305
280	0.2090788841
281	0.2089629491
282	0.2088871956
283	0.2087990125
284	0.2086458206
285	0.2085511843
286	0.2083972454
287	0.2083162626
288	0.2082384109
289	0.2081677437
290	0.2080910683
291	0.2080281258
292	0.207954216
293	0.2078766346
294	0.2078156471
295	0.2077616533
296	0.2076999346
297	0.2076626937
298	0.207575496
299	0.2074993769
300	0.2074097633
301	0.2072301706
302	0.2071211815
303	0.2070420265
304	0.206874911
305	0.2067988714
306	0.2067365328
307	0.2065798124
308	0.2065237681
309	0.2064497312
310	0.2063882033
311	0.2063368479
312	0.2062964757
313	0.2062318166
314	0.2061797619
315	0.2061169465
316	0.2059947173
317	0.2059471289
318	0.2058907986
319	0.205831035
320	0.2057765007
321	0.2057201068
322	0.205648454
323	0.2056037903
324	0.205540657
325	0.2054909706
326	0.2054506302
327	0.2053780238
328	0.2053319613
329	0.2052540779
330	0.2052020709
331	0.2051401456
332	0.2050971508
333	0.2050330321
334	0.2049542427
335	0.2048658212
336	0.2048176765
337	0.2046674887
338	0.204593118
339	0.204547437
340	0.2044970194
341	0.204436779
342	0.2043831507
343	0.2043335279
344	0.2042933782
345	0.2042474906
346	0.2041146914
347	0.2040759246
348	0.2040282567
349	0.2039012909
350	0.2038329601
351	0.2037820816
352	0.2037220637
353	0.2036788781
354	0.2036337376
355	0.2035885493
356	0.2035414378
357	0.2035105069
358	0.2034572601
359	0.2033661366
360	0.2032887141
361	0.2032515685
362	0.2032133897
363	0.2031336943
364	0.2030723572
365	0.2029560725
366	0.2029024283
367	0.2028521856
368	0.2027681033
369	0.2027244886
370	0.2026834011
371	0.2026086489
372	0.202567784
373	0.2025204341
374	0.2024708589
375	0.2023932457
376	0.2023391883
377	0.202269427
378	0.2022352537
379	0.2021873633
380	0.202140824
381	0.2020888964
382	0.2020490646
383	0.2019763629
384	0.2019417445
385	0.2019148509
386	0.2018368562
387	0.2017824332
388	0.2016983668
389	0.2016631444
390	0.2016222
391	0.2015258789
392	0.2014701049
393	0.2014196078
394	0.2013337135
395	0.2012706121
396	0.201247263
397	0.2012012482
398	0.2011451244
399	0.201101462
400	0.2010310491
401	0.200990502
402	0.2009464741
403	0.2008978844
404	0.2008404096
405	0.2008023103
406	0.2007600625
407	0.2007264137
408	0.2007008711
409	0.2006610235
410	0.2006130377
411	0.2005805175
412	0.2005418777
413	0.200487407
414	0.2004092852
415	0.200369215
416	0.2003395398
417	0.200290966
418	0.2002540906
419	0.2001460393
420	0.2001193841
421	0.2000724792
422	0.2000392119
423	0.2000041008
424	0.1999584993
425	0.1999214172
426	0.1998702685
427	0.1998290062
428	0.1997922103
429	0.1997590065
430	0.1997246265
431	0.1996688684
432	0.1996391296
433	0.1996193091
434	0.1995777766
435	0.1995357672
436	0.1994946798
437	0.1994533221
438	0.1994051615
439	0.1993401527
440	0.1992892742
441	0.1992581685
442	0.1992139816
443	0.1991764704
444	0.1991415024
445	0.1990936438
446	0.1990363121
447	0.1989863237
448	0.1989476522
449	0.1988680204
450	0.1988420804
451	0.1987950007
452	0.1987417857
453	0.1987043858
454	0.1986722946
455	0.1986321449
456	0.1985421022
457	0.1985112031
458	0.1984875997
459	0.1984471639
460	0.1984002272
461	0.1983409882
462	0.1983187675
463	0.1982907613
464	0.1982317607
465	0.1981781165
466	0.1981352965
467	0.1981029828
468	0.1980713526
469	0.1980167707
470	0.1979975065
471	0.1979602814
472	0.1979252497
473	0.1979119619
474	0.197841231
475	0.1978035768
476	0.1977938334
477	0.1977586269
478	0.1977203687
479	0.1976332347
480	0.1975913684
481	0.1975633303
482	0.1975118001
483	0.1974586487
484	0.1974353631
485	0.1974034468
486	0.1973072847
487	0.1972692013
488	0.1972302596
489	0.1971850236
490	0.1970974127
491	0.1970567385
492	0.1970107714
493	0.1969400724
494	0.1968958219
495	0.1968224049
496	0.1968046824
497	0.1967597644
498	0.1967258135
499	0.1966984113
500	0.1966626803
501	0.1966152509
502	0.1965800921
503	0.1965444883
504	0.1965195656
505	0.196473074
506	0.1964452744
507	0.1963891029
508	0.1963421186
509	0.1963122686
510	0.1962698936
511	0.1962345441
512	0.1962018649
513	0.1961564064
514	0.1960781097
515	0.1960282803
516	0.1959957123
517	0.195935154
518	0.1958737532
519	0.1958388805
520	0.1957950751
521	0.1957401276
522	0.1957028389
523	0.1956608136
524	0.1956115246
525	0.1955916087
526	0.1955528577
527	0.1955213547
528	0.1954765002
529	0.1954308987
530	0.1953883807
531	0.1953465621
532	0.1953239123
533	0.1952552001
534	0.1951931953
535	0.1951613744
536	0.1951274236
537	0.1950862408
538	0.1950441043
539	0.1950021585
540	0.1949754079
541	0.1949422201
542	0.1948966026
543	0.1948580106
544	0.1948210239
545	0.1947955926
546	0.1947792371
547	0.1947467168
548	0.1947045962
549	0.1946736654
550	0.1946425597
551	0.194594113
552	0.1945664883
553	0.1945338567
554	0.1945115248
555	0.1944915613
556	0.194456768
557	0.1944075902
558	0.1943888505
559	0.194360892
560	0.1943394979
561	0.1943124135
562	0.1942666213
563	0.1942286491
564	0.1941864649
565	0.1941545804
566	0.1940931638
567	0.1940588315
568	0.1940003713
569	0.1939812024
570	0.1939400991
571	0.1939089616
572	0.1938494682
573	0.1937957605
574	0.1937624931
575	0.1937396367
576	0.1937233925
577	0.193666935
578	0.1936495463
579	0.1936055183
580	0.1935683886
581	0.1935324987
582	0.1934907595
583	0.1934343815
584	0.193386968
585	0.1933458964
586	0.1933217684
587	0.1932796319
588	0.1932568232
589	0.1932419141
590	0.1932273706
591	0.1932068189
592	0.1931755543
593	0.1931255976
594	0.1931009293
595	0.1930640221
596	0.193034633
597	0.1929959297
598	0.1929621061
599	0.1929224014
600	0.1928862413
601	0.1928533395
602	0.1928115527
603	0.1927631378
604	0.1927342574
605	0.1927141825
606	0.1926721255
607	0.1926398277
608	0.1925920169
609	0.192540137
610	0.1925140699
611	0.192475605
612	0.1924512704
613	0.1924199104
614	0.192418321
615	0.1923810959
616	0.1923485438
617	0.1923181852
618	0.1922951698
619	0.192257309
620	0.1922276656
621	0.1922039668
622	0.1921772639
623	0.1921493212
624	0.192116038
625	0.1920889854
626	0.1920513153
627	0.1920149167
628	0.1919806798
629	0.1919462204
630	0.1919225057
631	0.1918919245
632	0.1918657303
633	0.1918259621
634	0.1917757511
635	0.1917458375
636	0.1917091688
637	0.1916686376
638	0.191634798
639	0.1915931702
640	0.1915719032
641	0.1915573279
642	0.1915049871
643	0.1914756934
644	0.1914524396
645	0.1914039612
646	0.1913655599
647	0.1913030148
648	0.1912670771
649	0.1912525813
650	0.1912322998
651	0.1912067095
652	0.1911575317
653	0.1911156654
654	0.191082557
655	0.1910492579
656	0.191014417
657	0.1909811974
658	0.1909305255
659	0.1908864339
660	0.1908606688
661	0.1908251921
662	0.1908125559
663	0.1907581011
664	0.1907336871
665	0.1906740983
666	0.1906353633
667	0.1905922254
668	0.1905477524
669	0.190504996
670	0.1904908339
671	0.1904548963
672	0.1904085795
673	0.1903727531
674	0.1903393428
675	0.1903061867
676	0.1902896404
677	0.1902558963
678	0.1902259032
679	0.1901985963
680	0.1901462396
681	0.1901141644
682	0.1900817712
683	0.1900606155
684	0.1900314331
685	0.1900098165
686	0.1899608135
687	0.1899421851
688	0.1899217447
689	0.1898916562
690	0.189878734
691	0.1898499648
692	0.189808019
693	0.1898058414
694	0.1897851626
695	0.1897644997
696	0.1897219499
697	0.1896984736
698	0.1896950563
699	0.1896710873
